30-Apr-2019 11:34:38
Sound experiment logfile
Participant 4

sound1,sound2,response
18,19,1
16,18,2
34,38,1
13,14,1
11,19,2
16,17,2
17,18,2
32,38,1
30,31,2
36,38,1
12,19,1
35,37,2
31,38,1
16,19,1
10,12,2
33,38,1
13,15,2
32,34,2
29,38,1
29,31,2
17,19,1
13,19,1
15,19,1
11,12,2
33,34,2
30,38,1
10,19,1
14,19,2
35,38,1
36,37,2
37,38,1
10,11,1
32,33,2
29,30,2
14,15,2
35,36,2
38,31,2
17,16,2
34,33,2
15,14,1
31,30,2
19,10,2
37,35,1
38,34,2
36,35,1
15,13,1
19,14,2
19,15,2
33,32,1
38,29,2
19,13,1
30,29,1
38,30,2
38,37,2
19,11,2
38,35,1
12,11,1
38,33,2
38,36,2
34,32,1
38,32,2
31,29,1
19,16,1
12,10,1
11,10,2
19,18,2
19,17,2
18,17,1
18,16,1
37,36,2
19,12,2
14,13,1
13,19,1
32,33,2
10,11,2
31,38,1
30,31,2
11,12,2
18,19,1
30,38,1
37,38,1
12,19,1
36,37,2
29,38,2
11,19,2
17,18,2
10,19,1
34,38,1
10,12,2
35,36,2
36,38,1
16,19,1
14,15,2
33,34,2
35,38,1
32,34,2
17,19,1
13,14,1
14,19,1
29,30,2
29,31,2
35,37,2
33,38,1
15,19,1
13,15,2
16,18,2
16,17,2
32,38,2
37,36,1
34,32,1
33,32,1
38,31,2
19,17,2
17,16,2
19,18,2
38,30,2
11,10,1
31,30,1
19,12,2
38,35,2
38,29,2
12,11,1
34,33,2
19,13,2
19,15,2
12,10,1
18,17,1
38,32,2
19,14,2
15,14,1
15,13,1
19,16,2
30,29,2
14,13,1
18,16,1
38,37,2
38,36,2
36,35,1
31,29,1
38,33,2
19,10,2
38,34,2
37,35,1
19,11,2
13,19,2
32,34,2
35,38,1
16,19,1
32,33,2
34,38,1
14,19,1
31,38,1
30,38,1
17,19,1
10,12,2
33,38,1
14,15,2
13,15,2
36,38,1
13,14,2
16,17,1
36,37,2
32,38,1
37,38,1
15,19,1
10,11,2
12,19,1
35,37,2
10,19,1
17,18,2
16,18,2
35,36,2
29,31,2
18,19,1
29,38,1
30,31,2
29,30,2
11,19,1
33,34,1
11,12,2
38,36,2
19,18,2
19,15,2
38,30,2
17,16,1
19,10,2
38,29,1
37,36,1
31,29,1
30,29,1
34,32,1
11,10,2
12,11,1
37,35,1
33,32,1
18,17,1
18,16,1
19,16,2
12,10,1
19,17,2
34,33,2
19,11,2
14,13,2
19,13,2
15,14,1
38,35,2
36,35,1
15,13,1
38,33,2
19,14,1
31,30,2
38,32,1
38,37,2
38,34,2
38,31,2
19,12,2
20,21,2
4,5,1
2,19,1
7,8,2
26,27,2
1,3,2
28,38,1
24,25,2
22,38,1
27,28,2
26,38,1
1,19,2
20,38,2
23,38,1
27,38,1
21,22,2
7,19,1
1,2,2
9,19,1
5,19,1
25,38,1
7,9,2
20,22,2
26,28,2
8,19,1
4,19,1
4,6,2
6,19,1
2,3,2
23,25,2
3,19,1
21,38,1
24,38,1
5,6,2
8,9,2
23,24,2
9,7,1
38,20,2
22,20,1
38,25,2
21,20,1
38,23,1
22,21,2
28,26,1
19,6,2
38,21,2
24,23,1
38,24,2
38,27,2
38,22,2
19,7,1
19,3,2
6,4,1
38,26,2
8,7,2
3,1,1
9,8,1
25,23,1
27,26,1
2,1,2
6,5,1
19,1,1
19,5,2
19,9,2
38,28,2
